Field1;Field2;Field3;Field4;Text;Text1;Text2
UNIVERSITAS SAM RATULANGI;"Kampus Unsrat Bahu
									Manado";73;1:11;A;"17.00 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";77 Jurusan
UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA;"Jl Kapt Mukhtar Basri Ba No 3 Glugur Darat II
									Medan";73;1:68;B;;36 Jurusan
UNIVERSITAS NEGERI PADANG;"Jalan Prof Dr Hamka Kampus Air Tawar Padang Sumatera Barat
									Padang";72;1:30;A;"2.61 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";115 Jurusan
UNIVERSITAS PENDIDIKAN GANESHA;"Jalan Udatana Nomor 11 Singaraja
									Buleleng";72;1:29;B;"40.71 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";58 Jurusan
UNIVERSITAS KRISTEN DUTA WACANA;"Jalan Dr Wahidin 5-19
									Yogyakarta";72;1:26;A;;16 Jurusan
UNIVERSITAS DIAN NUSWANTORO;"Kampus I : Jalan Imam Bonjol 207 Semarang 50131 Kampus II : Jalan Nakula I No
									Semarang";71;1:39;A;;21 Jurusan
UNIVERSITAS KRISTEN SATYA WACANA;"Jalan Diponegoro 52-60
									Salatiga";71;1:8;B;;69 Jurusan
UNIVERSITAS NEGERI MAKASSAR;"Jalan A P Pettarani Gunungsari
									Makassar";71;1:29;A;"3.12 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";119 Jurusan
UNIVERSITAS NEGERI GORONTALO;"Jalan Jenderal Sudirman No 6 Kec. Kota Tengah Kel. Wumialo
									Gorontalo";71;1:2;A;"7.38 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";100 Jurusan
UNIVERSITAS NUSA CENDANA;"Jl. Adisucipto, Penfui-Kupang, Lasiana, Klp. Lima
									Kupang";71;1:15;B;"6.50 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";63 Jurusan
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG JATI;"Jalan AH Nasution No 105
									Bandung";70;1:35;B;;59 Jurusan
